S/N,HOSTEL NAME,ROOM TYPE,PRICE (GHS),DISTANCE FROM CAMPUS(min walk to Campus),WATER,WIFI,SECURITY,TV ROOM,STUDY ROOM
261,SAINT PETERS,1 in 1,9100,13,No,No,Yes,Yes,Yes
262,EXECUTIVE HOSTEL,4 in 1,5100,14,Yes,No,Yes,Yes,No
262,EXECUTIVE HOSTEL,3 in 1,5900,14,Yes,No,Yes,Yes,No
262,EXECUTIVE HOSTEL,2 in 1,6600,14,Yes,No,Yes,Yes,No
262,EXECUTIVE HOSTEL,1 in 1,8400,14,Yes,No,Yes,Yes,No
263,SAMENS HOSTEL,3 in 1,7800,14,Yes,Yes,No,No,Yes
263,SAMENS HOSTEL,2 in 1,9600,14,Yes,Yes,No,No,Yes
264,KODUA'S HOSTEL,2 in 1,3700,14,Yes,No,No,No,No
264,KODUA'S HOSTEL,1 in 1,5500,14,Yes,No,No,No,No
265,MD HOSTEL,4 in 1,5400,14,Yes,Yes,Yes,Yes,No
265,MD HOSTEL,2 in 1,7100,14,Yes,Yes,Yes,Yes,No
266,ADAMS HOSTEL,4 in 1,4600,14,No,Yes,Yes,Yes,Yes
266,ADAMS HOSTEL,3 in 1,5800,14,No,Yes,Yes,Yes,Yes
266,ADAMS HOSTEL,2 in 1,7400,14,No,Yes,Yes,Yes,Yes
266,ADAMS HOSTEL,1 in 1,8600,14,No,Yes,Yes,Yes,Yes
267,JOSHUA HOSTEL,4 in 1,5000,14,Yes,Yes,Yes,No,No
267,JOSHUA HOSTEL,3 in 1,7900,14,Yes,Yes,Yes,No,No
267,JOSHUA HOSTEL,2 in 1,9200,14,Yes,Yes,Yes,No,No
268,BAANOVA HOSTEL,3 in 1,7000,14,Yes,Yes,Yes,No,Yes
268,BAANOVA HOSTEL,2 in 1,8100,14,Yes,Yes,Yes,No,Yes
268,BAANOVA HOSTEL,1 in 1,8200,14,Yes,Yes,Yes,No,Yes
269,SANDOZ HOSTEL,3 in 1,7600,14,Yes,No,No,Yes,No
269,SANDOZ HOSTEL,2 in 1,8100,14,Yes,No,No,Yes,No
270,HOMESTEL (NO NAME) 22,2 in 1,6300,14,Yes,No,No,Yes,Yes
270,HOMESTEL (NO NAME) 22,1 in 1,8000,14,Yes,No,No,Yes,Yes
271,PELICAN HOSTEL,3 in 1,6000,14,Yes,No,Yes,No,Yes
271,PELICAN HOSTEL,2 in 1,7400,14,Yes,No,Yes,No,Yes
271,PELICAN HOSTEL,1 in 1,8800,14,Yes,No,Yes,No,Yes
272,EVERGREEN EXECUTIVE HOSTEL,3 in 1,4400,14,Yes,Yes,Yes,Yes,No
272,EVERGREEN EXECUTIVE HOSTEL,2 in 1,6500,14,Yes,Yes,Yes,Yes,No
272,EVERGREEN EXECUTIVE HOSTEL,1 in 1,7600,14,Yes,Yes,Yes,Yes,No
273,ADU KWAINING,4 in 1,3400,14,No,No,Yes,No,No
273,ADU KWAINING,3 in 1,6600,14,No,No,Yes,No,No
273,ADU KWAINING,2 in 1,6800,14,No,No,Yes,No,No
273,ADU KWAINING,1 in 1,7900,14,No,No,Yes,No,No
274,MINKA HOSTEL,3 in 1,8700,14,Yes,Yes,No,No,Yes
274,MINKA HOSTEL,2 in 1,8800,14,Yes,Yes,No,No,Yes
275,KATE WILLIAMS,2 in 1,5400,14,No,Yes,Yes,No,No
275,KATE WILLIAMS,1 in 1,7800,14,No,Yes,Yes,No,No
276,NOBLES HOSTEL,2 in 1,7200,14,No,No,Yes,No,No
276,NOBLES HOSTEL,1 in 1,7400,14,No,No,Yes,No,No
277,PARTNERS HOSTEL,4 in 1,7100,14,Yes,No,Yes,Yes,No
277,PARTNERS HOSTEL,3 in 1,8000,14,Yes,No,Yes,Yes,No
278,MARANATHA,4 in 1,6400,14,Yes,No,No,Yes,Yes
278,MARANATHA,2 in 1,9600,14,Yes,No,No,Yes,Yes
279,KOSADOS ARENA HOTEL,4 in 1,6200,14,Yes,Yes,Yes,No,Yes
279,KOSADOS ARENA HOTEL,3 in 1,7800,14,Yes,Yes,Yes,No,Yes
280,LION OF JUDAH,4 in 1,7100,6,Yes,Yes,Yes,No,Yes
280,LION OF JUDAH,3 in 1,7700,6,Yes,Yes,Yes,No,Yes
280,LION OF JUDAH,2 in 1,8400,6,Yes,Yes,Yes,No,Yes
280,LION OF JUDAH,1 in 1,9800,6,Yes,Yes,Yes,No,Yes
281,THY WILL HOSTEL,4 in 1,9100,14,Yes,Yes,Yes,No,Yes
281,THY WILL HOSTEL,3 in 1,9300,14,Yes,Yes,Yes,No,Yes
282,JALEX HOSTEL ANNEX,3 in 1,3900,9,Yes,Yes,No,Yes,Yes
282,JALEX HOSTEL ANNEX,2 in 1,5600,9,Yes,Yes,No,Yes,Yes
282,JALEX HOSTEL ANNEX,1 in 1,8000,9,Yes,Yes,No,Yes,Yes
283,MANU MEMORIAL HOSTEL,4 in 1,4600,14,Yes,Yes,No,Yes,No
283,MANU MEMORIAL HOSTEL,3 in 1,7700,14,Yes,Yes,No,Yes,No
283,MANU MEMORIAL HOSTEL,2 in 1,8000,14,Yes,Yes,No,Yes,No
283,MANU MEMORIAL HOSTEL,1 in 1,8400,14,Yes,Yes,No,Yes,No
284,NYBERG (RISING STAR HOSTEL),4 in 1,5300,14,Yes,Yes,No,Yes,Yes
284,NYBERG (RISING STAR HOSTEL),3 in 1,5600,14,Yes,Yes,No,Yes,Yes
284,NYBERG (RISING STAR HOSTEL),2 in 1,7400,14,Yes,Yes,No,Yes,Yes
284,NYBERG (RISING STAR HOSTEL),1 in 1,9200,14,Yes,Yes,No,Yes,Yes
285,CRYSTAL PALACE HOSTEL,4 in 1,6600,14,No,Yes,Yes,Yes,No
285,CRYSTAL PALACE HOSTEL,3 in 1,7500,14,No,Yes,Yes,Yes,No
285,CRYSTAL PALACE HOSTEL,2 in 1,8200,14,No,Yes,Yes,Yes,No
286,EDEN VILLE,4 in 1,4500,14,Yes,Yes,Yes,No,No
286,EDEN VILLE,3 in 1,9200,14,Yes,Yes,Yes,No,No
287,SPEKKS HOSTEL,4 in 1,7000,30,No,Yes,No,No,No
287,SPEKKS HOSTEL,3 in 1,7700,30,No,Yes,No,No,No
287,SPEKKS HOSTEL,2 in 1,8300,30,No,Yes,No,No,No
287,SPEKKS HOSTEL,1 in 1,9400,30,No,Yes,No,No,No
288,DUFIE,2 in 1,3900,14,Yes,Yes,Yes,No,No
288,DUFIE,1 in 1,8300,14,Yes,Yes,Yes,No,No
289,HOSTEL DE DIONNE (CHLOE),4 in 1,6400,125,Yes,Yes,Yes,No,No
289,HOSTEL DE DIONNE (CHLOE),3 in 1,9000,125,Yes,Yes,Yes,No,No
289,HOSTEL DE DIONNE (CHLOE),2 in 1,9500,125,Yes,Yes,Yes,No,No
290,LA CASA MARIA,3 in 1,5000,25,Yes,Yes,No,No,No
290,LA CASA MARIA,2 in 1,6400,25,Yes,Yes,No,No,No
291,FORTUNE ROYAL,4 in 1,4700,15,No,No,No,Yes,No
291,FORTUNE ROYAL,3 in 1,8800,15,No,No,No,Yes,No
292,WAGYINGO ONYX,4 in 1,5400,13,No,No,No,Yes,Yes
292,WAGYINGO ONYX,3 in 1,7800,13,No,No,No,Yes,Yes
292,WAGYINGO ONYX,2 in 1,9500,13,No,No,No,Yes,Yes
293,BANNAT MANOR,3 in 1,3800,14,Yes,No,No,No,No
293,BANNAT MANOR,2 in 1,4200,14,Yes,No,No,No,No
294,NABBS,4 in 1,4000,6,Yes,No,Yes,Yes,No
294,NABBS,3 in 1,6500,6,Yes,No,Yes,Yes,No
294,NABBS,2 in 1,7300,6,Yes,No,Yes,Yes,No
294,NABBS,1 in 1,7500,6,Yes,No,Yes,Yes,No
295,ST. THERESA'S,4 in 1,5300,8,Yes,No,No,Yes,No
295,ST. THERESA'S,3 in 1,6400,8,Yes,No,No,Yes,No
296,HILTON HOSTEL,4 in 1,8600,8,No,No,Yes,Yes,Yes
296,HILTON HOSTEL,3 in 1,9400,8,No,No,Yes,Yes,Yes
297,EL-SHADDAI 2,3 in 1,4600,14,No,Yes,No,No,No
297,EL-SHADDAI 2,2 in 1,6000,14,No,Yes,No,No,No
297,EL-SHADDAI 2,1 in 1,6100,14,No,Yes,No,No,No
298,DAANKWA HOSTEL,4 in 1,8900,14,Yes,No,No,No,Yes
298,DAANKWA HOSTEL,3 in 1,9500,14,Yes,No,No,No,Yes
299,KANKANNA HOSTEL,4 in 1,8100,14,Yes,No,Yes,Yes,Yes
299,KANKANNA HOSTEL,2 in 1,8900,14,Yes,No,Yes,Yes,Yes
300,BRAYIE HOSTEL,3 in 1,6100,14,No,Yes,Yes,No,Yes
300,BRAYIE HOSTEL,2 in 1,8000,14,No,Yes,Yes,No,Yes
300,BRAYIE HOSTEL,1 in 1,9000,14,No,Yes,Yes,No,Yes
301,ANGELIX HOSTEL,3 in 1,6400,14,Yes,No,No,Yes,No
301,ANGELIX HOSTEL,2 in 1,8100,14,Yes,No,No,Yes,No
302,LORD J,4 in 1,6600,14,Yes,No,Yes,No,Yes
302,LORD J,3 in 1,8000,14,Yes,No,Yes,No,Yes
302,LORD J,2 in 1,8700,14,Yes,No,Yes,No,Yes
302,LORD J,1 in 1,9400,14,Yes,No,Yes,No,Yes
303,HOSTEL DE-NAD,3 in 1,4500,14,Yes,Yes,No,Yes,Yes
303,HOSTEL DE-NAD,2 in 1,7400,14,Yes,Yes,No,Yes,Yes
303,HOSTEL DE-NAD,1 in 1,8000,14,Yes,Yes,No,Yes,Yes
304,NEVADA ANNEX,3 in 1,7800,14,No,Yes,No,Yes,Yes
304,NEVADA ANNEX,2 in 1,9000,14,No,Yes,No,Yes,Yes
305,SUNRISE,3 in 1,6900,14,No,Yes,Yes,Yes,No
305,SUNRISE,2 in 1,8000,14,No,Yes,Yes,Yes,No
306,DYNAMIC HOSTEL,4 in 1,7400,14,Yes,No,Yes,Yes,No
306,DYNAMIC HOSTEL,2 in 1,8600,14,Yes,No,Yes,Yes,No
307,MIHAN HOSTEL,4 in 1,6400,14,Yes,Yes,Yes,Yes,No
307,MIHAN HOSTEL,3 in 1,7500,14,Yes,Yes,Yes,Yes,No
307,MIHAN HOSTEL,2 in 1,8800,14,Yes,Yes,Yes,Yes,No
308,WAJINGA,4 in 1,3400,14,Yes,Yes,No,Yes,Yes
308,WAJINGA,3 in 1,6500,14,Yes,Yes,No,Yes,Yes
308,WAJINGA,2 in 1,8800,14,Yes,Yes,No,Yes,Yes
308,WAJINGA,1 in 1,9800,14,Yes,Yes,No,Yes,Yes
309,PLATINUM VILLE,4 in 1,3400,14,Yes,Yes,No,No,No
309,PLATINUM VILLE,3 in 1,6600,14,Yes,Yes,No,No,No
310,GOOD NEWS HOSTEL,4 in 1,6200,14,Yes,Yes,No,Yes,Yes
310,GOOD NEWS HOSTEL,3 in 1,6600,14,Yes,Yes,No,Yes,Yes
310,GOOD NEWS HOSTEL,2 in 1,8100,14,Yes,Yes,No,Yes,Yes
310,GOOD NEWS HOSTEL,1 in 1,8900,14,Yes,Yes,No,Yes,Yes
311,FRONTLINE PREMIUM,4 in 1,5700,14,Yes,No,No,No,No
311,FRONTLINE PREMIUM,3 in 1,6300,14,Yes,No,No,No,No
311,FRONTLINE PREMIUM,2 in 1,8800,14,Yes,No,No,No,No
311,FRONTLINE PREMIUM,1 in 1,9000,14,Yes,No,No,No,No
312,EVANDY ANNEX,3 in 1,9200,11,No,No,Yes,No,Yes
312,EVANDY ANNEX,2 in 1,9400,11,No,No,Yes,No,Yes
313,RISING SUN,3 in 1,5000,14,Yes,Yes,Yes,No,Yes
313,RISING SUN,2 in 1,8800,14,Yes,Yes,Yes,No,Yes
313,RISING SUN,1 in 1,9100,14,Yes,Yes,Yes,No,Yes
314,CHRIST THE KING,4 in 1,3600,14,Yes,No,No,Yes,Yes
314,CHRIST THE KING,3 in 1,7000,14,Yes,No,No,Yes,Yes
314,CHRIST THE KING,2 in 1,8000,14,Yes,No,No,Yes,Yes
314,CHRIST THE KING,1 in 1,8600,14,Yes,No,No,Yes,Yes
315,NYANTAKYI SAMUEL,4 in 1,4600,14,Yes,Yes,Yes,No,Yes
315,NYANTAKYI SAMUEL,3 in 1,5400,14,Yes,Yes,Yes,No,Yes
315,NYANTAKYI SAMUEL,2 in 1,6800,14,Yes,Yes,Yes,No,Yes
315,NYANTAKYI SAMUEL,1 in 1,7400,14,Yes,Yes,Yes,No,Yes
316,A.B HOSTEL,4 in 1,5500,10,Yes,No,Yes,No,No
316,A.B HOSTEL,3 in 1,6000,10,Yes,No,Yes,No,No
317,THESS HOSTEL,3 in 1,7100,5,Yes,Yes,No,No,No
317,THESS HOSTEL,2 in 1,8200,5,Yes,Yes,No,No,No
317,THESS HOSTEL,1 in 1,8400,5,Yes,Yes,No,No,No
318,SIEYHA HOSTEL,3 in 1,5600,40,No,Yes,Yes,Yes,No
318,SIEYHA HOSTEL,2 in 1,6800,40,No,Yes,Yes,Yes,No
319,ADEPA,2 in 1,6800,14,Yes,Yes,No,No,Yes
319,ADEPA,1 in 1,7500,14,Yes,Yes,No,No,Yes
320,ROSJUD,4 in 1,4400,14,No,No,No,Yes,No
320,ROSJUD,3 in 1,5800,14,No,No,No,Yes,No
320,ROSJUD,2 in 1,8000,14,No,No,No,Yes,No
321,DENAD,4 in 1,9400,14,Yes,Yes,Yes,Yes,Yes
321,DENAD,2 in 1,9500,14,Yes,Yes,Yes,Yes,Yes
322,YALE HOSTEL,4 in 1,7000,14,Yes,No,Yes,No,Yes
322,YALE HOSTEL,3 in 1,8200,14,Yes,No,Yes,No,Yes
323,FLINT ANNEX,4 in 1,3600,10,Yes,No,Yes,No,No
323,FLINT ANNEX,3 in 1,6400,10,Yes,No,Yes,No,No
323,FLINT ANNEX,2 in 1,7800,10,Yes,No,Yes,No,No
324,OSAAH HOSTEL,4 in 1,7300,50,Yes,No,Yes,No,Yes
324,OSAAH HOSTEL,3 in 1,8000,50,Yes,No,Yes,No,Yes
324,OSAAH HOSTEL,2 in 1,9400,50,Yes,No,Yes,No,Yes
325,N.A.A HOSTEL,3 in 1,7500,50,Yes,Yes,Yes,No,Yes
325,N.A.A HOSTEL,2 in 1,8900,50,Yes,Yes,Yes,No,Yes
326,KAIROS CHRONOS HOSTEL,4 in 1,4900,10,Yes,No,No,No,No
326,KAIROS CHRONOS HOSTEL,3 in 1,6400,10,Yes,No,No,No,No
326,KAIROS CHRONOS HOSTEL,2 in 1,7900,10,Yes,No,No,No,No
326,KAIROS CHRONOS HOSTEL,1 in 1,9400,10,Yes,No,No,No,No
327,MELINDA HOSTEL,4 in 1,6900,12,Yes,Yes,No,Yes,No
327,MELINDA HOSTEL,3 in 1,8400,12,Yes,Yes,No,Yes,No
327,MELINDA HOSTEL,2 in 1,8800,12,Yes,Yes,No,Yes,No
327,MELINDA HOSTEL,1 in 1,8900,12,Yes,Yes,No,Yes,No
328,MAXI HOSTEL,4 in 1,4300,14,Yes,No,Yes,No,No
328,MAXI HOSTEL,2 in 1,9200,14,Yes,No,Yes,No,No
329,WAGYINGO OPAL,2 in 1,6800,14,Yes,No,Yes,Yes,Yes
329,WAGYINGO OPAL,1 in 1,9700,14,Yes,No,Yes,Yes,Yes
330,VICTORY TOWERS ANNEX,4 in 1,4900,10,Yes,No,Yes,Yes,No
330,VICTORY TOWERS ANNEX,3 in 1,5500,10,Yes,No,Yes,Yes,No
331,KENSINGTON,4 in 1,3900,14,Yes,Yes,Yes,Yes,Yes
331,KENSINGTON,3 in 1,5500,14,Yes,Yes,Yes,Yes,Yes
331,KENSINGTON,2 in 1,7800,14,Yes,Yes,Yes,Yes,Yes
331,KENSINGTON,1 in 1,8200,14,Yes,Yes,Yes,Yes,Yes
332,ALTITUDE HOSTEL,4 in 1,5200,14,Yes,No,No,Yes,Yes
332,ALTITUDE HOSTEL,3 in 1,6500,14,Yes,No,No,Yes,Yes
332,ALTITUDE HOSTEL,2 in 1,8700,14,Yes,No,No,Yes,Yes
333,NAVAS HOSTEL,4 in 1,7300,14,Yes,No,No,Yes,Yes
333,NAVAS HOSTEL,3 in 1,8000,14,Yes,No,No,Yes,Yes
334,KHARIS COURT HOSTEL,4 in 1,5300,14,Yes,Yes,No,Yes,Yes
334,KHARIS COURT HOSTEL,3 in 1,8800,14,Yes,Yes,No,Yes,Yes
335,PAVILION HOSTEL,4 in 1,4800,14,Yes,No,Yes,No,No
335,PAVILION HOSTEL,3 in 1,9200,14,Yes,No,Yes,No,No
336,KUMASI INTERNATIONAL HOSTEL,2 in 1,7400,14,Yes,Yes,Yes,No,No
336,KUMASI INTERNATIONAL HOSTEL,1 in 1,8900,14,Yes,Yes,Yes,No,No
337,PRINCE VILLE,3 in 1,3800,14,Yes,Yes,Yes,No,No
337,PRINCE VILLE,2 in 1,9600,14,Yes,Yes,Yes,No,No
338,ADUTSWUMWAA HOSTEL,4 in 1,6100,14,Yes,Yes,Yes,Yes,No
338,ADUTSWUMWAA HOSTEL,3 in 1,6500,14,Yes,Yes,Yes,Yes,No
338,ADUTSWUMWAA HOSTEL,2 in 1,7400,14,Yes,Yes,Yes,Yes,No
338,ADUTSWUMWAA HOSTEL,1 in 1,8000,14,Yes,Yes,Yes,Yes,No
339,BKF HOSTEL,4 in 1,7300,14,Yes,Yes,No,Yes,No
339,BKF HOSTEL,3 in 1,8700,14,Yes,Yes,No,Yes,No
339,BKF HOSTEL,2 in 1,9500,14,Yes,Yes,No,Yes,No
340,WESTERN CHAMBERS,1 in 1,8900,12,Yes,No,Yes,No,No
340,WESTERN CHAMBERS,4 in 1,5300,12,Yes,No,Yes,No,No
341,ATLANTIC COURT,1 in 1,9000,30,Yes,Yes,Yes,No,Yes
341,ATLANTIC COURT,3 in 1,8900,30,Yes,Yes,Yes,No,Yes
342,KRONUM VILLAGE,4 in 1,5200,13,Yes,No,No,No,Yes
342,KRONUM VILLAGE,1 in 1,8200,13,Yes,No,No,No,Yes
342,KRONUM VILLAGE,2 in 1,9700,13,Yes,No,No,No,Yes
342,KRONUM VILLAGE,3 in 1,7800,13,Yes,No,No,No,Yes
343,SUNSET POINT,2 in 1,6900,6,Yes,No,No,No,Yes
343,SUNSET POINT,3 in 1,7400,6,Yes,No,No,No,Yes
343,SUNSET POINT,1 in 1,8000,6,Yes,No,No,No,Yes
343,SUNSET POINT,4 in 1,4800,6,Yes,No,No,No,Yes
344,KENSINGTON PARK,3 in 1,7000,13,No,No,No,Yes,Yes
344,KENSINGTON PARK,2 in 1,5000,13,No,No,No,Yes,Yes
345,CONTINENTAL GATE,2 in 1,5200,12,Yes,No,No,No,No
345,CONTINENTAL GATE,4 in 1,4700,12,Yes,No,No,No,No
346,GRACE HALL,4 in 1,4000,8,Yes,Yes,Yes,Yes,No
346,GRACE HALL,1 in 1,8700,8,Yes,Yes,Yes,Yes,No
347,DEDURU HEIGHTS,2 in 1,6300,50,Yes,No,Yes,Yes,No
347,DEDURU HEIGHTS,3 in 1,4600,50,Yes,No,Yes,Yes,No
348,CENTRAL CHAMBERS,2 in 1,9600,10,Yes,Yes,Yes,No,No
348,CENTRAL CHAMBERS,4 in 1,5200,10,Yes,Yes,Yes,No,No
349,OPAL PLACE,1 in 1,8500,9,Yes,Yes,Yes,No,No
349,OPAL PLACE,2 in 1,5600,9,Yes,Yes,Yes,No,No
350,SILVER LODGE,4 in 1,4700,11,Yes,Yes,Yes,No,No
350,SILVER LODGE,2 in 1,7700,11,Yes,Yes,Yes,No,No
350,SILVER LODGE,3 in 1,5000,11,Yes,Yes,Yes,No,No
350,SILVER LODGE,1 in 1,8800,11,Yes,Yes,Yes,No,No
351,SUNRISE MANOR,2 in 1,6700,20,Yes,No,Yes,No,Yes
351,SUNRISE MANOR,4 in 1,5100,20,Yes,No,Yes,No,Yes
351,SUNRISE MANOR,3 in 1,5800,20,Yes,No,Yes,No,Yes
351,SUNRISE MANOR,1 in 1,9800,20,Yes,No,Yes,No,Yes
352,SUNSET RESIDENCE,4 in 1,5500,10,Yes,No,Yes,No,Yes
352,SUNSET RESIDENCE,2 in 1,6100,10,Yes,No,Yes,No,Yes
353,SAPPHIRE VILLAGE,4 in 1,6700,12,Yes,Yes,Yes,Yes,No
353,SAPPHIRE VILLAGE,3 in 1,4900,12,Yes,Yes,Yes,Yes,No
353,SAPPHIRE VILLAGE,1 in 1,8600,12,Yes,Yes,Yes,Yes,No
354,AYEDUASE POINT,4 in 1,2600,14,Yes,Yes,No,No,No
354,AYEDUASE POINT,2 in 1,5700,14,Yes,Yes,No,No,No
355,OAK RETREAT,2 in 1,7800,55,No,Yes,No,Yes,No
355,OAK RETREAT,3 in 1,7700,55,No,Yes,No,Yes,No
355,OAK RETREAT,1 in 1,8600,55,No,Yes,No,Yes,No
355,OAK RETREAT,4 in 1,5300,55,No,Yes,No,Yes,No
356,SPRING HALL,2 in 1,7100,10,Yes,No,No,No,Yes
356,SPRING HALL,4 in 1,3300,10,Yes,No,No,No,Yes
357,OFORIKROM HALL,1 in 1,7700,55,Yes,No,Yes,Yes,Yes
357,OFORIKROM HALL,2 in 1,6900,55,Yes,No,Yes,Yes,Yes
357,OFORIKROM HALL,3 in 1,8200,55,Yes,No,Yes,Yes,Yes
357,OFORIKROM HALL,4 in 1,6000,55,Yes,No,Yes,Yes,Yes
358,DEDURU HOSTEL,3 in 1,4100,10,Yes,No,Yes,No,Yes
358,DEDURU HOSTEL,4 in 1,6000,10,Yes,No,Yes,No,Yes
359,KOTEI GATE,4 in 1,4900,30,Yes,No,Yes,No,Yes
359,KOTEI GATE,1 in 1,7800,30,Yes,No,Yes,No,Yes
359,KOTEI GATE,2 in 1,8400,30,Yes,No,Yes,No,Yes
360,SUNRISE HALL,4 in 1,7000,15,No,Yes,Yes,No,Yes
360,SUNRISE HALL,3 in 1,8000,15,No,Yes,Yes,No,Yes
361,PEARL MANSION,4 in 1,4300,35,No,Yes,Yes,No,No
361,PEARL MANSION,3 in 1,6200,35,No,Yes,Yes,No,No
361,PEARL MANSION,1 in 1,8700,35,No,Yes,Yes,No,No
361,PEARL MANSION,2 in 1,8900,35,No,Yes,Yes,No,No
362,SUNRISE COMPLEX,1 in 1,7900,6,Yes,No,Yes,Yes,No
362,SUNRISE COMPLEX,4 in 1,5200,6,Yes,No,Yes,Yes,No
362,SUNRISE COMPLEX,3 in 1,5100,6,Yes,No,Yes,Yes,No
362,SUNRISE COMPLEX,2 in 1,5900,6,Yes,No,Yes,Yes,No
363,MAYFAIR PLAZA,1 in 1,9200,80,Yes,Yes,Yes,No,Yes
363,MAYFAIR PLAZA,3 in 1,8600,80,Yes,Yes,Yes,No,Yes
363,MAYFAIR PLAZA,2 in 1,7400,80,Yes,Yes,Yes,No,Yes
364,COZY HOMES,4 in 1,7000,10,Yes,No,No,Yes,Yes
364,COZY HOMES,1 in 1,8800,10,Yes,No,No,Yes,Yes
365,KENTINKRONO HOSTEL,2 in 1,6700,70,No,No,Yes,Yes,No
365,KENTINKRONO HOSTEL,3 in 1,7200,70,No,No,Yes,Yes,No
366,BOMSO COURT,2 in 1,9700,12,Yes,Yes,Yes,Yes,No
366,BOMSO COURT,4 in 1,5400,12,Yes,Yes,Yes,Yes,No
367,SUMMIT VILLA,2 in 1,9700,6,Yes,No,Yes,Yes,No
367,SUMMIT VILLA,4 in 1,2600,6,Yes,No,Yes,Yes,No
368,RUBY GARDENS,3 in 1,7900,8,Yes,No,Yes,No,Yes
368,RUBY GARDENS,2 in 1,7700,8,Yes,No,Yes,No,Yes
369,GLORY CORNER,2 in 1,7100,6,No,Yes,No,No,No
369,GLORY CORNER,4 in 1,5600,6,No,Yes,No,No,No
370,PLATINUM MANSION,2 in 1,5000,20,Yes,No,No,No,No
370,PLATINUM MANSION,3 in 1,6300,20,Yes,No,No,No,No
371,BOADI VILLAGE,1 in 1,8800,50,Yes,No,Yes,Yes,No
371,BOADI VILLAGE,2 in 1,9600,50,Yes,No,Yes,Yes,No
372,CENTRAL VIEW,3 in 1,5900,12,Yes,No,No,Yes,No
372,CENTRAL VIEW,1 in 1,7600,12,Yes,No,No,Yes,No
372,CENTRAL VIEW,2 in 1,6900,12,Yes,No,No,Yes,No
373,CRYSTAL HOSTEL,1 in 1,9300,50,Yes,Yes,No,Yes,Yes
373,CRYSTAL HOSTEL,4 in 1,6000,50,Yes,Yes,No,Yes,Yes
373,CRYSTAL HOSTEL,2 in 1,6800,50,Yes,Yes,No,Yes,Yes
373,CRYSTAL HOSTEL,3 in 1,7400,50,Yes,Yes,No,Yes,Yes
374,BOADI ANNEX,2 in 1,7700,9,Yes,Yes,Yes,No,No
374,BOADI ANNEX,3 in 1,8100,9,Yes,Yes,Yes,No,No
374,BOADI ANNEX,1 in 1,7700,9,Yes,Yes,Yes,No,No
374,BOADI ANNEX,4 in 1,5000,9,Yes,Yes,Yes,No,No
375,WOODLAND VILLAGE,4 in 1,4900,50,No,No,No,Yes,Yes
375,WOODLAND VILLAGE,1 in 1,7000,50,No,No,No,Yes,Yes
375,WOODLAND VILLAGE,2 in 1,8000,50,No,No,No,Yes,Yes
376,HORIZON HOSTEL,4 in 1,5900,6,Yes,No,No,Yes,Yes
376,HORIZON HOSTEL,2 in 1,7600,6,Yes,No,No,Yes,Yes
377,ROYAL OASIS,2 in 1,7200,13,Yes,Yes,Yes,No,No
377,ROYAL OASIS,4 in 1,3400,13,Yes,Yes,Yes,No,No
377,ROYAL OASIS,3 in 1,6100,13,Yes,Yes,Yes,No,No
378,BRIGHTON COURT,2 in 1,7100,12,No,No,Yes,Yes,No
378,BRIGHTON COURT,1 in 1,7600,12,No,No,Yes,Yes,No
379,AMBER PARK,1 in 1,8300,20,Yes,No,No,No,Yes
379,AMBER PARK,3 in 1,7200,20,Yes,No,No,No,Yes
379,AMBER PARK,4 in 1,8300,20,Yes,No,No,No,Yes
380,FAITH CHAMBERS,3 in 1,6900,5,No,No,Yes,No,Yes
380,FAITH CHAMBERS,1 in 1,8700,5,No,No,Yes,No,Yes
381,STAR INN,4 in 1,5400,55,Yes,Yes,No,No,No
381,STAR INN,3 in 1,4000,55,Yes,Yes,No,No,No
382,EMENA APARTMENTS,4 in 1,5500,15,Yes,No,Yes,No,No
382,EMENA APARTMENTS,3 in 1,6700,15,Yes,No,Yes,No,No
383,GREENFIELD TOWERS,3 in 1,9500,45,Yes,No,Yes,No,No
383,GREENFIELD TOWERS,2 in 1,7300,45,Yes,No,Yes,No,No
383,GREENFIELD TOWERS,4 in 1,6000,45,Yes,No,Yes,No,No
384,KENSINGTON APARTMENTS,3 in 1,6600,20,Yes,Yes,No,No,No
384,KENSINGTON APARTMENTS,4 in 1,3800,20,Yes,Yes,No,No,No
385,BOADI HAVEN,2 in 1,9100,6,No,No,Yes,Yes,No
385,BOADI HAVEN,4 in 1,6600,6,No,No,Yes,Yes,No
386,SUSUANSO HOMES,1 in 1,9200,12,Yes,Yes,No,Yes,No
386,SUSUANSO HOMES,4 in 1,4100,12,Yes,Yes,No,Yes,No
387,SUMMIT TOWERS,4 in 1,7600,4,Yes,Yes,Yes,No,Yes
387,SUMMIT TOWERS,2 in 1,5600,4,Yes,Yes,Yes,No,Yes
387,SUMMIT TOWERS,1 in 1,9000,4,Yes,Yes,Yes,No,Yes
388,NOBLE JUNCTION,2 in 1,9800,55,Yes,Yes,Yes,No,Yes
388,NOBLE JUNCTION,4 in 1,4000,55,Yes,Yes,Yes,No,Yes
389,TOPAZ GATE,2 in 1,6800,11,Yes,Yes,Yes,No,Yes
389,TOPAZ GATE,3 in 1,6800,11,Yes,Yes,Yes,No,Yes
389,TOPAZ GATE,1 in 1,7900,11,Yes,Yes,Yes,No,Yes
390,MODERN JUNCTION,2 in 1,5400,15,Yes,No,No,Yes,Yes
390,MODERN JUNCTION,4 in 1,5600,15,Yes,No,No,Yes,Yes
